CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
2920375,AGMI,E6495,,,"7,47",15,"-0,13",5,"-0,18",28,"-0,30",31,"0,27",34,"2,00",9,"2,67",9,"1,71",21,"3,38",23,"6,39",28,"4,80",30,"2,13",6
3085246,AGMI,E8673,,,"7,47",18,"-0,20",8,"0,12",30,"-0,20",34,"2,50",34,"0,27",12,"0,46",11,"4,54",20,"7,20",22,"7,85",28,"5,57",30,"2,83",8
3085777,AGMI,E9296,,,"7,47",21,"-0,51",11,"-0,06",32,"0,42",36,"0,49",35,"2,67",13,"3,59",13,"3,55",24,"6,33",25,"0,90",30,"-2,23",33,"3,42",10
2367919,AGMI,E104,,,"7,46",16,"-0,56",8,"0,08",18,"0,15",18,"0,21",21,"0,91",13,"1,44",13,"2,66",23,"3,96",25,"5,93",26,"7,40",26,"2,13",8
2632119,AGMI,E2341,,,"7,46",20,"-0,14",10,"0,70",32,"0,89",36,"0,15",35,"0,89",14,"1,03",14,"2,30",24,"3,91",25,"7,47",30,"7,96",33,"2,71",9
2920254,AGMI,E6422,,,"7,46",20,"-0,49",9,"0,65",31,"0,60",35,"-1,14",35,"0,84",14,"1,19",14,"2,20",24,"4,33",25,"6,01",30,"6,14",33,"4,55",9
2920411,AGMI,E6767,,,"7,46",17,"-0,40",7,"0,08",30,"0,20",34,"0,07",33,"1,34",11,"1,75",11,"2,82",21,"4,10",23,"4,76",28,"6,83",30,"4,95",7
3197878,AGMI,F995,,,"7,46",19,"-0,28",11,"0,55",32,"0,50",21,"0,40",23,"1,79",16,"2,49",16,"2,45",25,"3,41",26,"4,07",31,"2,98",28,"0,80",11
3198114,AGMI,F1267,,,"7,46",22,"-0,30",13,"0,35",30,"0,01",35,"-0,20",35,"2,19",13,"2,82",13,"0,21",23,"1,07",25,"0,91",29,"-1,19",31,"4,10",11
3198196,AGMI,F1840,,,"7,46",15,"-0,82",9,"0,36",13,"0,35",15,"0,32",20,"-0,32",8,"-0,26",8,"2,48",20,"4,53",22,"3,27",23,"2,14",24,"2,90",7
